date,percent
2020-04-01, 0.0191
2020-05-01, 0.0192
2020-07-01, 0.0193
2020-09-01, 0.0188
2020-10-01, 0.0176
2021-01-01, 0.0213
2021-03-01, 0.0230
2021-05-01, 0.0231
2021-10-01, 0.0185
2021-12-01, 0.0193
2022-02-01, 0.0212
2022-03-01, 0.0213
2022-08-01, 0.0205
2022-10-01, 0.0190
2023-02-01, 0.0207
2023-05-01, 0.0187
2023-12-01, 0.0184
2024-01-01, 0.0224
2024-02-01, 0.0197
2024-05-01, 0.0199
2024-10-01, 0.0205
2024-12-01, 0.0213
